Designator,Mid X,Mid Y,Layer,Rotation
C9,14.3mm,31.48mm,Top,90
J1,4.5mm,22.5mm,Top,90
J3,45.5mm,22.5mm,Top,270
D3,37.77mm,28.75mm,Top,180
U9,37.2mm,24.4mm,Top,270
C8,9.3mm,30.62mm,Top,90
J4,6.95mm,11.75mm,Top,0
U2,11.8mm,31.02mm,Top,180
D1,40.8mm,28.75mm,Top,180
R2,10.99mm,15.78mm,Top,270
H2,47.5mm,32.45mm,Top,270
SW7,25.0mm,22.5mm,Top,90
U3,11.39mm,21.14mm,Top,180
C2,13.61mm,26.0mm,Top,180
R4,9.94mm,15.77mm,Top,270
R5,34.93mm,23.96mm,Top,90
R1,9.86mm,26.35mm,Top,90
C1,11.6mm,26.0mm,Top,0
H1,2.5mm,12.5mm,Top,270
R3,8.84mm,15.79mm,Top,270
