Item #,Designator,Qty,Manufacturer,Mfg Part #,Package/Footprint,LCSC Part Number,Description / Value
1,LS2,1,Fuet,FS1818MS0410-H5.9-R01,Speaker1.8x1.8,C48542868,SpeakerSmt
3,"J12,J13",2,JUSHUO,AFC01-S16FCA-00,FFC_connector_16p_hinge_lock,C262665,FFC_connector_16p_hinge_lock
6,J2,1,Molex,532610271,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,C2905009,2p_picoblade
8,"C9,C11,C8,C12",4,Samsung,CL05A475MP5NRNC,C_0402_1005Metric,C23733,4.7uF
9,"C10,C4",2,Guangdong Fenghua Advanced Tech,0402B221K500NT,C_0402_1005Metric,C1530,220pF
10,"R7,R4,R9,R6",4,,0402WGF750JTCE,R_0402_1005Metric,C25133,75R
11,J1,1,,X6511WRS-06H-C60D48,01x06_2.54mm_Male,C5242199,01x06_2.54mm_Male
12,J3,1,,X6511FRS-06-C85D30,01x06_2.54mm_Female,C5142239,01x06_2.54mm_Female
13,U2,1,Nanjing Micro One Elec,ME6211C33M5G-N,SOT-23-5,C81233,ME6211C33M5G-N
14,R2,1,,,R_0402_1005Metric,C43291,750K
15,C15,1,Samsung,CL05B104KO5NNNC,C_0402_1005Metric,C1525,0.1uF
16,U3,1,STMicroelectronics,STM32G030F6P6TR,TSSOP-20_4.4x6.5mm_P0.65mm,C529330,STM32G030F6P6
17,U1,1,,MAX98357AEWL+T,WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm,C2682619,MAX98357AEWL+T
