Item #,Designator,Qty,Manufacturer,Mfg Part #,Package/Footprint,LCSC Part Number
1,"J12,J13,J6",3,JUSHUO,AFC01-S16FCA-00,FFC_connector_16p_hinge_lock,C262665
1,"J2,J5",2,Molex,532610271,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,C189700
1,"C9,C5,C3,C8,C2",5,Samsung,CL05A475MP5NRNC,C_0402_1005Metric,C23733
1,"C10,C4",2,Guangdong Fenghua Advanced Tech,0402B221K500NT,C_0402_1005Metric,C1530
1,"R4,R9,R10,R1,R11",5,,0402WGF750JTCE,R_0402_1005Metric,C25133
1,J1,1,,,01x06_2.54mm_Male,C5242199
1,J3,1,,,01x06_2.54mm_Female,C5142239
1,"C1,C7,C6",3,Samsung,CL05B104KO5NNNC,C_0402_1005Metric,C1525
1,U5,1,STMicroelectronics,,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
1,U2,1,Nanjing Micro One Elec,ME6211C33M5G-N,SOT-23-5,C81233
1,R2,1,,,R_0402_1005Metric,C43291
1,U4,1,Maxim Integrated,MAX98357AETE+T ,QFN50P300X300X80-17N,C910544
1,LS1,1,,,Speaker_20x30,C28642278
1,R3,1,,,R_0402_1005Metric,C25744
1,U1,1,,,MSOP-8_3x3mm_P0.65mm,C113367
